model,variable,variable_label,coefficient,std_error,ci_lower_95,ci_upper_95,p_value,observations,countries,year_start,year_end,country_fixed_effects,year_fixed_effects,standard_errors,r_squared,adjusted_r_squared
R7_diphtheria_replaces_polio,log1p_gdp,log(1 + GDP),-0.01166494534040044,0.03718757518672576,-0.08455125337875831,0.06122136269795743,0.7537651798813276,2319,157,2000,2015,True,True,cluster_country,0.9594950331153702,0.9561873479987999
R7_diphtheria_replaces_polio,total_expenditure,Total expenditure,-0.03552777647712381,0.04483283591627026,-0.12339852019780732,0.052342967243559704,0.42809839150486406,2319,157,2000,2015,True,True,cluster_country,0.9594950331153702,0.9561873479987999
R7_diphtheria_replaces_polio,diphtheria,Diphtheria coverage,0.009006751897734446,0.0033853197279392544,0.002371647154820573,0.015641856640648318,0.00780172838375228,2319,157,2000,2015,True,True,cluster_country,0.9594950331153702,0.9561873479987999
R8_polio_and_diphtheria,schooling,Schooling,0.12840659425404605,0.11962964852959349,-0.10606320834714222,0.3628763968552343,0.28310619491777733,2319,157,2000,2015,True,True,cluster_country,0.9594984894448867,0.9561706342358764
R8_polio_and_diphtheria,log1p_gdp,log(1 + GDP),-0.011788792559199908,0.03720624564582951,-0.08471169402497594,0.06113410890657613,0.7513575528096709,2319,157,2000,2015,True,True,cluster_country,0.9594984894448867,0.9561706342358764
R8_polio_and_diphtheria,total_expenditure,Total expenditure,-0.03578627132261,0.04469581068563305,-0.12338845052627129,0.05181590788105128,0.42332690471358436,2319,157,2000,2015,True,True,cluster_country,0.9594984894448867,0.9561706342358764
R8_polio_and_diphtheria,polio,Polio coverage,0.0011856580762618575,0.0034672916369619267,-0.005610108656080448,0.007981424808604162,0.7323846786358013,2319,157,2000,2015,True,True,cluster_country,0.9594984894448867,0.9561706342358764
R8_polio_and_diphtheria,diphtheria,Diphtheria coverage,0.008459529588500747,0.003557243719353185,0.0014874600143371967,0.015431599162664296,0.017401465084940296,2319,157,2000,2015,True,True,cluster_country,0.9594984894448867,0.9561706342358764
R9_exclude_total_expenditure,schooling,Schooling,0.1548504780980916,0.12959068287712908,-0.09914259307303286,0.40884354926921607,0.2321183503379194,2471,157,2000,2015,True,True,cluster_country,0.957712308436616,0.9545075791979275
R9_exclude_total_expenditure,log1p_gdp,log(1 + GDP),-0.014020916249299062,0.039037165196388404,-0.0905323540927608,0.06249052159416267,0.7194691130774731,2471,157,2000,2015,True,True,cluster_country,0.957712308436616,0.9545075791979275
R9_exclude_total_expenditure,polio,Polio coverage,0.004557164961277402,0.003633443905484113,-0.002564254233318016,0.01167858415587282,0.20975935751644403,2471,157,2000,2015,True,True,cluster_country,0.957712308436616,0.9545075791979275
R10_exclude_influential,schooling,Schooling,0.47790641991637167,0.15264616584956825,0.17872543247308997,0.7770874073596534,0.001743238258200771,2174,157,2000,2015,True,True,cluster_country,0.9653460213006194,0.962310762906029
R10_exclude_influential,log1p_gdp,log(1 + GDP),0.0015327163554518866,0.03378940362427047,-0.0646932978072054,0.06775873051810918,0.963819679273559,2174,157,2000,2015,True,True,cluster_country,0.9653460213006194,0.962310762906029
R10_exclude_influential,total_expenditure,Total expenditure,-0.010794150305097335,0.04292922531683397,-0.094933885810297,0.07334558520010233,0.8014734790218188,2174,157,2000,2015,True,True,cluster_country,0.9653460213006194,0.962310762906029
