variable,country,missing_count,missing_rate
alcohol,Paraguay,1,0.0625
alcohol,Peru,1,0.0625
alcohol,Philippines,1,0.0625
alcohol,Poland,1,0.0625
alcohol,Portugal,1,0.0625
alcohol,Qatar,1,0.0625
alcohol,Republic of Korea,1,0.0625
alcohol,Republic of Moldova,1,0.0625
alcohol,Romania,1,0.0625
alcohol,Russian Federation,1,0.0625
alcohol,Rwanda,1,0.0625
alcohol,Saint Kitts and Nevis,0,0.0
alcohol,Saint Lucia,1,0.0625
alcohol,Saint Vincent and the Grenadines,1,0.0625
alcohol,Samoa,1,0.0625
alcohol,San Marino,0,0.0
alcohol,Sao Tome and Principe,1,0.0625
alcohol,Saudi Arabia,1,0.0625
alcohol,Senegal,1,0.0625
alcohol,Serbia,1,0.0625
alcohol,Seychelles,1,0.0625
alcohol,Sierra Leone,1,0.0625
alcohol,Singapore,0,0.0
alcohol,Slovakia,1,0.0625
alcohol,Slovenia,1,0.0625
alcohol,Solomon Islands,1,0.0625
alcohol,Somalia,1,0.0625
alcohol,South Africa,1,0.0625
alcohol,South Sudan,16,1.0
alcohol,Spain,1,0.0625
alcohol,Sri Lanka,1,0.0625
alcohol,Sudan,1,0.0625
alcohol,Suriname,1,0.0625
alcohol,Swaziland,1,0.0625
alcohol,Sweden,1,0.0625
alcohol,Switzerland,1,0.0625
alcohol,Syrian Arab Republic,1,0.0625
alcohol,Tajikistan,1,0.0625
alcohol,Thailand,1,0.0625
alcohol,The former Yugoslav republic of Macedonia,1,0.0625
alcohol,Timor-Leste,1,0.0625
alcohol,Togo,1,0.0625
alcohol,Tonga,1,0.0625
alcohol,Trinidad and Tobago,1,0.0625
alcohol,Tunisia,1,0.0625
alcohol,Turkey,1,0.0625
alcohol,Turkmenistan,1,0.0625
alcohol,Tuvalu,0,0.0
alcohol,Uganda,1,0.0625
alcohol,Ukraine,1,0.0625
alcohol,United Arab Emirates,1,0.0625
alcohol,United Kingdom of Great Britain and Northern Ireland,0,0.0
alcohol,United Republic of Tanzania,1,0.0625
alcohol,United States of America,1,0.0625
alcohol,Uruguay,1,0.0625
alcohol,Uzbekistan,1,0.0625
alcohol,Vanuatu,1,0.0625
alcohol,Venezuela (Bolivarian Republic of),1,0.0625
alcohol,Viet Nam,1,0.0625
alcohol,Yemen,1,0.0625
alcohol,Zambia,1,0.0625
alcohol,Zimbabwe,1,0.0625
bmi,Afghanistan,0,0.0
bmi,Albania,0,0.0
bmi,Algeria,0,0.0
bmi,Angola,0,0.0
bmi,Antigua and Barbuda,0,0.0
bmi,Argentina,0,0.0
bmi,Armenia,0,0.0
bmi,Australia,0,0.0
bmi,Austria,0,0.0
bmi,Azerbaijan,0,0.0
bmi,Bahamas,0,0.0
bmi,Bahrain,0,0.0
bmi,Bangladesh,0,0.0
bmi,Barbados,0,0.0
bmi,Belarus,0,0.0
bmi,Belgium,0,0.0
bmi,Belize,0,0.0
bmi,Benin,0,0.0
bmi,Bhutan,0,0.0
bmi,Bolivia (Plurinational State of),0,0.0
bmi,Bosnia and Herzegovina,0,0.0
bmi,Botswana,0,0.0
bmi,Brazil,0,0.0
bmi,Brunei Darussalam,0,0.0
bmi,Bulgaria,0,0.0
bmi,Burkina Faso,0,0.0
bmi,Burundi,0,0.0
bmi,Cabo Verde,0,0.0
bmi,Cambodia,0,0.0
bmi,Cameroon,0,0.0
bmi,Canada,0,0.0
bmi,Central African Republic,0,0.0
bmi,Chad,0,0.0
bmi,Chile,0,0.0
bmi,China,0,0.0
bmi,Colombia,0,0.0
bmi,Comoros,0,0.0
bmi,Congo,0,0.0
bmi,Cook Islands,0,0.0
bmi,Costa Rica,0,0.0
bmi,Croatia,0,0.0
bmi,Cuba,0,0.0
bmi,Cyprus,0,0.0
bmi,Czechia,0,0.0
bmi,Côte d'Ivoire,0,0.0
bmi,Democratic People's Republic of Korea,0,0.0
bmi,Democratic Republic of the Congo,0,0.0
bmi,Denmark,0,0.0
bmi,Djibouti,0,0.0
bmi,Dominica,0,0.0
bmi,Dominican Republic,0,0.0
bmi,Ecuador,0,0.0
bmi,Egypt,0,0.0
bmi,El Salvador,0,0.0
bmi,Equatorial Guinea,0,0.0
bmi,Eritrea,0,0.0
bmi,Estonia,0,0.0
bmi,Ethiopia,0,0.0
bmi,Fiji,0,0.0
bmi,Finland,0,0.0
bmi,France,0,0.0
bmi,Gabon,0,0.0
bmi,Gambia,0,0.0
bmi,Georgia,0,0.0
bmi,Germany,0,0.0
bmi,Ghana,0,0.0
bmi,Greece,0,0.0
bmi,Grenada,0,0.0
bmi,Guatemala,0,0.0
bmi,Guinea,0,0.0
bmi,Guinea-Bissau,0,0.0
bmi,Guyana,0,0.0
bmi,Haiti,0,0.0
bmi,Honduras,0,0.0
bmi,Hungary,0,0.0
bmi,Iceland,0,0.0
bmi,India,0,0.0
bmi,Indonesia,0,0.0
bmi,Iran (Islamic Republic of),0,0.0
bmi,Iraq,0,0.0
bmi,Ireland,0,0.0
bmi,Israel,0,0.0
bmi,Italy,0,0.0
bmi,Jamaica,0,0.0
bmi,Japan,0,0.0
bmi,Jordan,0,0.0
bmi,Kazakhstan,0,0.0
bmi,Kenya,0,0.0
bmi,Kiribati,0,0.0
bmi,Kuwait,0,0.0
bmi,Kyrgyzstan,0,0.0
bmi,Lao People's Democratic Republic,0,0.0
bmi,Latvia,0,0.0
bmi,Lebanon,0,0.0
bmi,Lesotho,0,0.0
bmi,Liberia,0,0.0
bmi,Libya,0,0.0
bmi,Lithuania,0,0.0
bmi,Luxembourg,0,0.0
bmi,Madagascar,0,0.0
bmi,Malawi,0,0.0
bmi,Malaysia,0,0.0
bmi,Maldives,0,0.0
bmi,Mali,0,0.0
bmi,Malta,0,0.0
bmi,Marshall Islands,0,0.0
bmi,Mauritania,0,0.0
bmi,Mauritius,0,0.0
bmi,Mexico,0,0.0
bmi,Micronesia (Federated States of),0,0.0
bmi,Monaco,1,1.0
bmi,Mongolia,0,0.0
bmi,Montenegro,0,0.0
bmi,Morocco,0,0.0
bmi,Mozambique,0,0.0
bmi,Myanmar,0,0.0
bmi,Namibia,0,0.0
bmi,Nauru,0,0.0
bmi,Nepal,0,0.0
bmi,Netherlands,0,0.0
bmi,New Zealand,0,0.0
bmi,Nicaragua,0,0.0
bmi,Niger,0,0.0
bmi,Nigeria,0,0.0
bmi,Niue,0,0.0
