country,year,residual,abs_residual
Suriname,2011,4.363004060546942,4.363004060546942
Luxembourg,2010,4.358458122881956,4.358458122881956
Finland,2013,4.353803248147088,4.353803248147088
Rwanda,2014,4.303396604135791,4.303396604135791
Niger,2000,-4.286361275427119,4.286361275427119
Malawi,2012,4.260129883253327,4.260129883253327
Niger,2012,4.259289021970893,4.259289021970893
Greece,2014,4.251869944024023,4.251869944024023
Latvia,2007,4.239495471044279,4.239495471044279
Namibia,2005,-4.22052803606546,4.22052803606546
Nicaragua,2003,4.219573109125406,4.219573109125406
Switzerland,2003,4.217005952060219,4.217005952060219
Sierra Leone,2002,4.213412739754631,4.213412739754631
Belgium,2013,4.200666541036526,4.200666541036526
Ghana,2009,4.19038514245149,4.19038514245149
Guatemala,2010,4.172617303878326,4.172617303878326
Iraq,2014,-4.151122721685837,4.151122721685837
Sierra Leone,2000,-4.139327691728312,4.139327691728312
Ethiopia,2001,-4.136061090414167,4.136061090414167
Zambia,2012,4.128158615475037,4.128158615475037
Rwanda,2013,4.092778706633389,4.092778706633389
Zambia,2004,-4.087267924978576,4.087267924978576
Portugal,2013,4.041048580006631,4.041048580006631
Samoa,2002,4.0327685588273,4.0327685588273
Malawi,2000,-4.031446279249124,4.031446279249124
Namibia,2004,-4.030771080075674,4.030771080075674
Namibia,2013,4.005523890602632,4.005523890602632
Swaziland,2005,-3.980180044816116,3.980180044816116
Liberia,2001,-3.9716903190785473,3.9716903190785473
Malawi,2001,-3.9716476420566593,3.9716476420566593
Rwanda,2004,-3.9649359464016882,3.9649359464016882
Mauritania,2005,3.9647801387039223,3.9647801387039223
Namibia,2012,3.9560375500841047,3.9560375500841047
Iraq,2007,-3.949079599340962,3.949079599340962
France,2006,3.9434831218387814,3.9434831218387814
Zimbabwe,2005,-3.9177936137031466,3.9177936137031466
Uganda,2014,3.9042123549365613,3.9042123549365613
Zimbabwe,2011,3.8901096765854533,3.8901096765854533
Brazil,2000,3.8873680653621676,3.8873680653621676
Zambia,2010,3.8630099410403673,3.8630099410403673
Canada,2007,3.824555641600469,3.824555641600469
Gabon,2005,3.8230326878507555,3.8230326878507555
Netherlands,2009,3.82286730231543,3.82286730231543
Cambodia,2000,-3.818868641315042,3.818868641315042
Norway,2008,3.8100738328193984,3.8100738328193984
Nigeria,2007,3.790184480804548,3.790184480804548
Swaziland,2012,3.7713729152201836,3.7713729152201836
Ukraine,2011,3.768799158461718,3.768799158461718
Swaziland,2004,-3.764396115530026,3.764396115530026
Rwanda,2012,3.7540615763698426,3.7540615763698426
Slovenia,2013,3.723523108912346,3.723523108912346
