country,year,life_expectancy,fitted,residual,studentized_residual,cooks_distance,influential_rule_4_over_n
Cuba,2014,79.0,69.67840028614556,9.32159971385444,1.5778923691746551,0.002887073947282252,True
Slovenia,2014,87.0,76.96079964473572,10.039200355264285,1.6988256299835225,0.002880301103876897,True
Lesotho,2007,46.2,66.1223922378017,-19.922392237801702,-3.3711535604920995,0.0028736896819630976,True
Sierra Leone,2006,44.3,59.96181374590197,-15.661813745901974,-2.6487567504049863,0.0028724453317388854,True
Equatorial Guinea,2000,52.7,44.22237620437665,8.477623795623352,1.4357157410179755,0.00286348817495757,True
Guatemala,2000,67.7,58.141473392482006,9.558526607517997,1.6177051307592227,0.00281536247616629,True
Swaziland,2004,45.6,65.48064892251621,-19.880648922516208,-3.3639934327559717,0.0027788458892731753,True
Lesotho,2008,47.8,66.2095186914199,-18.409518691419905,-3.1142679933282467,0.0027410965313718763,True
Turkey,2006,72.8,63.67415648933438,9.125843510665618,1.544674676748559,0.0027377859708790815,True
Ethiopia,2013,63.7,54.814732097371184,8.885267902628819,1.5040077148965287,0.0026525391767507262,True
Equatorial Guinea,2008,55.4,65.60150972156056,-10.201509721560562,-1.7258449506284292,0.0026392241081027337,True
Malawi,2008,50.0,64.47735108399309,-14.477351083993085,-2.448053752655962,0.0026069840994169214,True
Botswana,2000,47.8,70.33633739229873,-22.536337392298734,-3.8153660453603337,0.00257892372081377,True
Botswana,2004,48.1,70.74949336288309,-22.649493362883085,-3.8346124078613277,0.002555942769518074,True
Armenia,2007,73.5,64.87560444901148,8.624395550988524,1.459870468986417,0.0025355719352962674,True
Guatemala,2006,69.7,60.982762665421035,8.717237334578968,1.4755025509126023,0.0025319195210732224,True
Zambia,2000,43.8,63.40789827052808,-19.607898270528082,-3.3174503543483413,0.002479112648957508,True
Angola,2007,48.2,62.196121121622475,-13.996121121622473,-2.3665184169859343,0.002473339176603725,True
Zambia,2003,46.4,64.55603099817407,-18.156030998174067,-3.0710498386508593,0.002469924978177008,True
Chile,2012,79.9,72.66624804399179,7.23375195600822,1.225681787755194,0.0024669202006527284,True
Norway,2009,89.0,77.80717119312851,11.19282880687149,1.892821708460762,0.002432137861628008,True
Swaziland,2006,47.8,66.38805639601783,-18.588056396017834,-3.1442923606717232,0.002410894737140655,True
Sierra Leone,2002,48.0,56.636860584005916,-8.636860584005916,-1.4617386216549708,0.002398912966228663,True
Paraguay,2013,73.8,66.48251224997001,7.317487750029983,1.2396178297413154,0.0023927454245141434,True
Botswana,2001,46.7,70.32434667641465,-23.624346676414646,-4.0005170009022795,0.002371433004735019,True
Angola,2010,49.6,64.97294648348347,-15.372946483483467,-2.599353311569783,0.0023464552093064085,True
Angola,2008,48.7,62.51853418831057,-13.818534188310565,-2.336349349485613,0.0023449342163061105,True
Nigeria,2002,47.7,55.99033211845758,-8.290332118457577,-1.403275545984959,0.0023439931829422407,True
Cabo Verde,2011,72.6,64.96128034205991,7.6387196579400864,1.2935698042774322,0.002342574040511055,True
Equatorial Guinea,2007,55.0,64.99242027796714,-9.992420277967142,-1.6901044776535334,0.002312008576398061,True
Netherlands,2009,86.0,77.49468658519369,8.50531341480631,1.439414476303027,0.0023028756066183174,True
Uganda,2004,51.3,64.76564899806304,-13.465648998063045,-2.276630014213882,0.0022992781673999187,True
Uganda,2001,47.7,63.24301130593777,-15.543011305937767,-2.628067649355144,0.0022657697106884178,True
Jamaica,2009,74.7,66.80673511951483,7.893264880485177,1.3362278636356866,0.002241384439990886,True
Equatorial Guinea,2006,54.8,64.6571961935995,-9.857196193599506,-1.667101057723582,0.002180002480715274,True
Denmark,2010,79.2,73.38405848983767,5.815941510162332,0.9867424121815286,0.0021599046582768547,True
Liberia,2012,67.0,59.4624851120278,7.5375148879722005,1.2761306903642808,0.0021317487681039946,True
Lesotho,2004,44.8,66.39668431636814,-21.59668431636814,-3.655148112668775,0.0020829003131944785,True
Bosnia and Herzegovina,2011,76.9,67.91400980366731,8.985990196332693,1.5200215728862159,0.0020673532005764193,True
